sample_order	pool	tag_pool	site	year	plot	treatment	specification
1	1	1_1	KONTROLL_				
2	1	4_1	Halasen	2012	13	clearcut	middle_lower
3	1	5_1	Fangamon	2018	2	shelter_burn	
4	1	6_1	Halasen_p_5	2018	control	control	
5	1	7_1	Halasen	2018	12	forest	middle_upper
6	1	8_1	Halasen	2012	6	clearcut	middle_upper
7	1	9_1	Halasen	2018	13	clearcut	middle_lower
8	1	10_1	Fangamon	2012	3	shelter_without_burn	
9	1	11_1	Fangamon	2018	2	shelter_burn	
10	1	12_1	Halasen_p_5	2018	clearcut	clearcut	
11	1	13_1	Halasen	2018	3	clearcut	middle_upper
12	1	14_1	Halasen_p_5	2018	clearcut	clearcut	
13	1	15_1	Fangamon	2012	3	shelter_without_burn	
14	1	16_1	Halasen	2012	13	clearcut	edge_south
15	1	17_1	Halasen	2012	5	forest	middle_upper
16	1	18_1	Fangamon	2018	5	clearcut	
17	1	20_1	Fangamon	2012	5	clearcut	
18	1	21_1	Halasen	2012	12	forest	middle_lower
19	1	22_1	Fangamon	2018	new_control	forest_control	
20	1	23_1	Halasen	2018	13	clearcut	edge_north
21	1	24_1	Halasen	2018	7	forest	middle_lower
22	1	25_1	Halasen	2012	11	forest	middle_upper
23	1	26_1	Fangamon	2012	6	forest_control	
24	1	28_1	Fangamon	2012	6	forest_control	
25	1	29_1	KONTROLL_				
26	1	30_1	Halasen_p_5	2018	control	control	
27	1	31_1	Halasen_p_5	2018	24	p_5	
28	1	32_1	Fangamon	2018	6	forest_control	
29	1	33_1	Fangamon	2018	4	forest_control	
30	1	34_1	Fangamon	2012	1	clearcut	seedling_roots
31	1	35_1	Halasen	2018	3	clearcut	edge_south
32	1	36_1	Halasen	2018	11	forest	middle_lower
33	1	37_1	Halasen	2018	5	forest	middle_lower
34	1	38_1	Halasen	2012	8	forest	middle_upper
35	1	39_1	Fangamon	2018	5	clearcut	
36	1	41_1	Halasen	2012	10	clearcut	middle_upper
37	1	42_1	Fangamon	2012	12	forest_control	
38	1	44_1	Halasen	2012	6	clearcut	kant_norra
39	1	45_1	Fangamon	2018	6	forest_control	
40	1	97_1	Halasen	2018	6	clearcut	edge_north
41	1	47_1	Fangamon	2018	1	clearcut	
42	1	48_1	Fangamon	2012	1	clearcut	
43	1	49_1	Fangamon	2012	5	clearcut	
44	1	51_1	Halasen_p_5	2018	8	p_5	
45	1	52_1	Fangamon	2012	5	clearcut	seedling_roots
46	1	53_1	Halasen	2012	10	clearcut	edge_north
47	1	54_1	Fangamon	2018	2	shelter_burn	
48	1	55_1	Halasen_p_5	2018	control	control	
49	1	56_1	KONTROLL_				
50	1	57_1	Fangamon	2012	3	shelter_without_burn	
51	1	58_1	Halasen	2012	7	forest	middle_upper
52	1	60_1	Fangamon	2018	3	shelter_without_burn	
53	1	61_1	Halasen_p_5	2018	clearcut	clearcut	
54	1	63_1	Halasen	2012	11	forest	middle_lower
55	1	65_1	Fangamon	2012	1	clearcut	seedling_roots
56	1	66_1	Fangamon	2018	4	forest_control	
57	1	67_1	Halasen_p_5	2018	22	p_5	
58	1	68_1	Halasen	2018	13	clearcut	middle_upper
59	1	69_1	Halasen	2012	12	forest	middle_upper
60	1	70_1	Fangamon	2012	7	clearcut	
61	1	71_1	Fangamon	2012	2	shelter_burn	
62	1	72_1	Halasen_p_5	2018	12	p_5	
63	1	73_1	Halasen	2018	10	clearcut	edge_north
64	1	74_1	Fangamon	2012	12	forest_control	
65	1	98_1	Fangamon	2018	1	clearcut	
66	1	76_1	Halasen	2012	5	forest	middle_lower
67	1	77_1	Halasen	2012	4	forest	middle_upper
68	1	78_1	Fangamon	2012	10	shelter_without_burn	
69	1	79_1	Fangamon	2018	5	clearcut	
70	1	80_1	Halasen_p_5	2018	4	p_5	
