Cluster_ID	Cluster_Size	Phylum	Class	Order	Family	Genus	OUT_ID	primary_lifestyle	Fruitbody_type_template
c613	58	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus	arbuscular_mycorrhizal	none
c23	2079	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium	dung_saprotroph	cleistothecium_(closed,_spherical)
c116	489	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	Apodus_deciduus	dung_saprotroph	perithecium_(hymenium_hidden,_narrow_opening)
c249	273	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium	dung_saprotroph	cleistothecium_(closed,_spherical)
c315	155	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Thelebolus	Thelebolus_globosus.ellipsoideus.stercoreus	dung_saprotroph	cleistothecium_(closed,_spherical)
c318	146	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium	dung_saprotroph	cleistothecium_(closed,_spherical)
c334	143	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia_flanaganii	dung_saprotroph	cleistothecium_(closed,_spherical)
c501	93	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	Podospora_appendiculata	dung_saprotroph	perithecium_(hymenium_hidden,_narrow_opening)
c545	58	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium_glutinans	dung_saprotroph	perithecium_(hymenium_hidden,_narrow_opening)
c567	71	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia_tetramera	dung_saprotroph	cleistothecium_(closed,_spherical)
c608	48	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	Podospora_tetraspora_coll.	dung_saprotroph	perithecium_(hymenium_hidden,_narrow_opening)
c944	29	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Leuconeurospora	Leuconeurospora	dung_saprotroph	cleistothecium_(closed,_spherical)
c947	36	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Wardomyces	Wardomyces	dung_saprotroph	perithecium_(hymenium_hidden,_narrow_opening)
c1001	21	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia	dung_saprotroph	cleistothecium_(closed,_spherical)
c10	2985	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus_variegatus	ectomycorrhizal	agaricoid
c17	2020	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_nitidiuscula	ectomycorrhizal	agaricoid
c21	1416	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Paxillus	Paxillus_involutus	ectomycorrhizal	agaricoid
c26	2057	Ascomycota	Dothideomycetes	Gloniales	Gloniaceae	Cenococcum	Cenococcum_geophilum	ectomycorrhizal	None
c32	993	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon_mohelnensis	ectomycorrhizal	gasteroid
c35	941	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius	ectomycorrhizal	agaricoid
c36	967	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_subbrunnea	ectomycorrhizal	agaricoid
c37	998	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	Tylospora_fibrillosa	ectomycorrhizal	corticioid
c44	727	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon	ectomycorrhizal	gasteroid
c46	813	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_aff._obtusus	ectomycorrhizal	agaricoid
c50	773	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Amphinema	Amphinema	ectomycorrhizal	corticioid
c51	791	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_queletii	ectomycorrhizal	agaricoid
c58	818	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius	ectomycorrhizal	agaricoid
c59	836	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum	ectomycorrhizal	agaricoid
c64	873	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_geophylla_coll.	ectomycorrhizal	agaricoid
c66	891	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius	ectomycorrhizal	agaricoid
c67	778	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma_byssinum	ectomycorrhizal	corticioid
c68	683	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Polyozellus	Polyozellus_griseopergamaceus	ectomycorrhizal	clavarioid
c70	1014	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Amphinema	Amphinema_byssoides	ectomycorrhizal	corticioid
c80	518	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Leccinum	Leccinum_scabrum.rotundifoliae	ectomycorrhizal	agaricoid
c84	569	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_geophylla_coll.	ectomycorrhizal	agaricoid
c88	616	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma	ectomycorrhizal	corticioid
c95	448	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_terrestris	ectomycorrhizal	clavarioid
c100	516	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma_sphaerosporum	ectomycorrhizal	corticioid
c107	466	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella	ectomycorrhizal	corticioid
c110	460	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_geophylla	ectomycorrhizal	agaricoid
c111	563	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma	ectomycorrhizal	corticioid
c112	319	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_vinosa	ectomycorrhizal	agaricoid
c114	419	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_nauseosa	ectomycorrhizal	agaricoid
