samples_match	samples_all
s43	s1
s67	s2
s78	s3
s98	s4
s69	s5
s95	s6
s92	s7
s22	s8
s81	s9
s133	s10
s161	s11
s8	s12
s89	s13
s143	s14
s123	s15
s17	s16
s42	s17
s110	s18
s163	s19
s51	s20
s90	s21
s107	s22
s114	s23
s135	s24
s131	s25
s79	s26
s113	s27
s49	s28
s62	s29
s61	s30
s2	s31
s165	s32
s115	s33
s144	s34
s159	s35
s29	s36
s52	s37
s117	s38
s122	s39
s68	s40
s14	s41
s5	s42
s35	s43
s101	s44
s86	s45
s160	s46
s47	s47
s119	s48
s162	s49
s155	s50
s100	s51
s125	s52
sITS-standard2	s53
s33	s54
s71	s55
s127	s56
s120	s57
s72	s58
s3	s59
s32	s60
s44	s61
s16	s62
s137	s63
s65	s64
s59	s65
s132	s66
s75	s67
s64	s68
s104	s69
s150	s70
s156	s71
s166	s72
s154	s73
s136	s74
s87	s75
s15	s76
s134	s77
s55	s78
s46	s79
s53	s80
s39	s81
s80	s82
s63	s83
s24	s84
sPCR_neg_1	s85
s118	s86
s153	s87
s126	s88
s60	s89
s10	s90
s26	s91
s50	s92
s91	s93
s23	s94
s12	s95
s109	s96
s93	s97
s21	s98
s141	s99
s158	s100
sITS-standard1	s101
s96	s102
s19	s103
s18	s104
s82	s105
s76	s106
s7	s107
s128	s108
s84	s109
sPCR_neg_2	s110
s97	s111
s57	s112
s152	s113
s74	s114
s4	s115
s31	s116
s85	s117
s38	s118
s40	s119
s77	s120
s124	s121
s27	s122
s157	s123
s54	s124
s48	s125
s142	s126
s106	s127
s112	s128
s102	s129
s37	s130
s147	s131
s30	s132
s13	s133
s130	s134
s41	s135
s149	s136
s58	s137
s151	s138
s56	s139
s45	s140
sQ2	s141
s94	s142
s9	s143
s140	s144
s129	s145
s36	s146
s148	s147
s146	s148
s70	s149
s66	s150
s6	s151
s20	s152
s108	s153
s99	s154
s88	s155
s116	s156
s28	s157
s83	s158
s139	s159
s105	s160
s103	s161
NA	s162
NA	s163
NA	s164
NA	s165
NA	s166
NA	sQ1
NA	sQ2
NA	sITS-standard1
NA	sITS-standard2
NA	sPCR_neg_1
NA	sPCR_neg_10
NA	sPCR_neg_2
NA	sPCR_neg_3
NA	sPCR_neg_4
NA	sPCR_neg_5
NA	sPCR_neg_6
NA	sPCR_neg_7
