Cluster_ID	Cluster_Size	Phylum	Class	Order	Family	Genus	OTU_ID	primary_lifestyle	Fruitbody_type_template
c2	11339	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces	soil_saprotroph	none
c4	5672	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis	soil_saprotroph	none
c5	4845	NA	NA	NA	NA	Leotiomycetes	Leotiomycetes	NA	NA
c7	4716	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_terricola	soil_saprotroph	none
c9	4530	NA	NA	NA	NA	Chaetothyriomycetidae	Chaetothyriomycetidae	NA	NA
c10	4501	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus_variegatus	ectomycorrhizal	agaricoid
c11	3806	Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Phialocephala	Phialocephala_fortinii	soil_saprotroph	apothecium_(hymenium_on_surface)
c12	3705	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha	litter_saprotroph	apothecium_(hymenium_on_surface)
c13	3668	NA	NA	NA	NA	Microbotryomycetes	Microbotryomycetes	NA	NA
c14	3446	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Humicolopsis	Humicolopsis_cephalosporioides	soil_saprotroph	none
c15	3130	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_polonicum_(coll.)	unspecified_saprotroph	0
c16	2985	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_humilis/clonocystis/epicladia	soil_saprotroph	none
c17	2692	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_nitidiuscula	ectomycorrhizal	agaricoid
c18	2557	NA	NA	NA	NA	Leotiomycetes	Leotiomycetes	NA	NA
c19	2543	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces	soil_saprotroph	none
c21	2441	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Paxillus	Paxillus_involutus	ectomycorrhizal	agaricoid
c22	2357	NA	NA	NA	NA	Dactylosporales	Dactylosporales	NA	NA
c23	2213	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	Pseudeurotium	dung_saprotroph	cleistothecium_(closed,_spherical)
c24	2171	NA	NA	NA	NA	Saccharomycetales	Saccharomycetales	NA	NA
c25	2079	Ascomycota	Leotiomycetes	Helotiales	Amorphothecaceae	Oidiodendron	Oidiodendron_chlamydosporicum	soil_saprotroph	0
c26	2057	Ascomycota	Dothideomycetes	Gloniales	Gloniaceae	Cenococcum	Cenococcum_geophilum	ectomycorrhizal	None
c27	2020	NA	NA	NA	NA	Chaetothyriomycetidae	Chaetothyriomycetidae	NA	NA
c30	1742	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Athelia	Athelia_acrospora	lichen_parasite	corticioid
c31	1647	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces	soil_saprotroph	none
c32	1576	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon_mohelnensis	ectomycorrhizal	gasteroid
c33	1416	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_finlandica	litter_saprotroph	apothecium_(hymenium_on_surface)
c34	1384	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Luellia	Luellia	wood_saprotroph	corticioid
c35	1368	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius	ectomycorrhizal	agaricoid
c36	1294	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_subbrunnea	ectomycorrhizal	agaricoid
c37	1245	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Tylospora	Tylospora_fibrillosa	ectomycorrhizal	corticioid
c38	1201	NA	NA	NA	NA	Pseudeurotiaceae	Pseudeurotiaceae	NA	NA
c40	1108	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis_dimorpha	soil_saprotroph	none
c41	1106	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c42	1095	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c43	1075	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces	soil_saprotroph	none
c44	1014	Basidiomycota	Agaricomycetes	Boletales	Rhizopogonaceae	Rhizopogon	Rhizopogon	ectomycorrhizal	gasteroid
c45	998	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces	soil_saprotroph	none
c46	993	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_aff._obtusus	ectomycorrhizal	agaricoid
c47	988	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c48	967	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella	soil_saprotroph	none
c49	941	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_abundans	soil_saprotroph	none
c50	891	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Amphinema	Amphinema	ectomycorrhizal	corticioid
c51	878	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_queletii	ectomycorrhizal	agaricoid
c52	873	NA	NA	NA	NA	Leotiomycetes	Leotiomycetes	NA	NA
c53	862	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe_conica_(coll.)	soil_saprotroph	agaricoid
c54	856	Ascomycota	Leotiomycetes	Helotiales	Amorphothecaceae	Oidiodendron	Oidiodendron_pilicola	soil_saprotroph	0
c55	841	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena_leptocephala	litter_saprotroph	agaricoid
c56	841	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c57	836	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita	root_endophyte	none
c58	818	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius	ectomycorrhizal	agaricoid
c59	816	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Hydnum	Hydnum	ectomycorrhizal	agaricoid
c60	813	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria_sphagnicola	soil_saprotroph	clavarioid
c61	812	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala	animal_parasite	0
c62	801	Basidiomycota	Agaricomycetes	Auriculariales	Hyaloriaceae	Protodontia	Protodontia_piceicola	wood_saprotroph	corticioid
c63	797	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c64	791	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_geophylla_(coll.)	ectomycorrhizal	agaricoid
c65	788	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis	soil_saprotroph	none
c66	778	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius	ectomycorrhizal	agaricoid
c67	773	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma_byssinum	ectomycorrhizal	corticioid
c68	758	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Polyozellus	Polyozellus_griseopergamaceus	ectomycorrhizal	clavarioid
c69	754	NA	NA	NA	NA	Leotiomycetes	Leotiomycetes	NA	NA
c70	754	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Amphinema	Amphinema_byssoides	ectomycorrhizal	corticioid
c71	753	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_macrocystis/macrocystopsis	soil_saprotroph	none
c72	752	NA	NA	NA	NA	Trechisporales	Trechisporales	NA	NA
c74	751	NA	NA	NA	NA	Tricholomataceae	Tricholomataceae	NA	NA
c76	727	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_terrea/fuscescens/phenolicus	soil_saprotroph	none
c77	727	NA	NA	NA	NA	Hygrophoraceae	Hygrophoraceae	NA	NA
c78	723	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c79	712	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c80	689	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Leccinum	Leccinum_scabrum/rotundifoliae	ectomycorrhizal	agaricoid
c82	683	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria	plant_pathogen	perithecium_(hymenium_hidden,_narrow_opening)
c83	682	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella	soil_saprotroph	none
c84	682	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_geophylla_(coll.)	ectomycorrhizal	agaricoid
c85	666	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Goffeauzyma	Goffeauzyma_gastrica	soil_saprotroph	none
c86	662	NA	NA	NA	NA	Pseudeurotiaceae	Pseudeurotiaceae	NA	NA
c88	650	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma__	ectomycorrhizal	corticioid
c89	650	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Cryptosporiopsis	Cryptosporiopsis	unspecified_saprotroph	0
c90	649	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha	litter_saprotroph	apothecium_(hymenium_on_surface)
c91	616	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena_rebaudengoi	litter_saprotroph	agaricoid
c92	599	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c93	569	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus_haptosporus/ranarum	unspecified_saprotroph	none
c94	565	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c95	563	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_terrestris	ectomycorrhizal	clavarioid
c96	559	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c97	554	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entocybe	Entocybe_vinacea	litter_saprotroph	agaricoid
c98	550	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria_borealis_(coll.)	litter_saprotroph	agaricoid
c99	543	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellales family incertae sedis	Sistotrema	Sistotrema	litter_saprotroph	corticioid
c100	542	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma_sphaerosporum	ectomycorrhizal	corticioid
c101	539	NA	NA	NA	NA	Venturiales	Venturiales	NA	NA
c102	523	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma	mycoparasite	perithecium_(hymenium_hidden,_narrow_opening)
c103	518	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c104	516	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c105	509	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha	litter_saprotroph	apothecium_(hymenium_on_surface)
c106	500	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c107	497	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella	ectomycorrhizal	corticioid
c108	493	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces	soil_saprotroph	none
c109	489	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c110	487	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_geophylla	ectomycorrhizal	agaricoid
c111	485	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma	ectomycorrhizal	corticioid
c112	479	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_vinosa	ectomycorrhizal	agaricoid
c114	476	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_nauseosa	ectomycorrhizal	agaricoid
c115	476	Basidiomycota	Agaricomycetes	Hysterangiales	Hysterangiaceae	Hysterangium	Hysterangium	ectomycorrhizal	gasteroid-hypogeous
c116	474	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	Apodus_deciduus	dung_saprotroph	perithecium_(hymenium_hidden,_narrow_opening)
c117	466	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Chalara	Chalara_holubovae	litter_saprotroph	None
c118	466	NA	NA	NA	NA	Chaetothyriales	Chaetothyriales	NA	NA
c119	465	NA	NA	NA	NA	Helotiales	Helotiales	NA	NA
c120	465	Basidiomycota	Tremellomycetes	Tremellales	Trimorphomycetaceae	Saitozyma	Saitozyma_podzolica	soil_saprotroph	none
c121	463	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella	soil_saprotroph	none
c122	460	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma	ectomycorrhizal	corticioid
c123	460	NA	NA	NA	NA	Agaricostilbomycetes	Agaricostilbomycetes	NA	NA
c124	459	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Articulospora	Articulospora	litter_saprotroph	0
c125	457	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Trichophaea	Trichophaea	ectomycorrhizal	apothecium_(hymenium_on_surface)
c126	448	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentellopsis	Tomentellopsis	ectomycorrhizal	corticioid
c127	439	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Cylindrosympodium	Cylindrosympodium	plant_pathogen	perithecium_(hymenium_hidden,_narrow_opening)
c128	427	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Amphinema	Amphinema_byssoides	ectomycorrhizal	corticioid
c129	424	NA	NA	NA	NA	Sordariomycetes	Sordariomycetes	NA	NA
c130	419	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella	soil_saprotroph	none
c131	418	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus_luteus	ectomycorrhizal	agaricoid
c132	418	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c133	409	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	Serendipita	root_endophyte	none
c134	406	NA	NA	NA	NA	Fungi	Fungi	NA	NA
c135	401	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius	ectomycorrhizal	agaricoid
c136	399	NA	NA	NA	NA	Hyaloscypheae	Hyaloscypheae	NA	NA
c137	395	Ascomycota	Leotiomycetes	Helotiales	Helotiales family incertae sedis	Crocicreas	Crocicreas_epicalamia	litter_saprotroph	apothecium_(hymenium_on_surface)
c138	390	Mucoromycota	Umbelopsidomycetes	Umbelopsidales	Umbelopsidaceae	Umbelopsis	Umbelopsis	soil_saprotroph	none
c139	387	NA	NA	NA	NA	Auriculariales	Auriculariales	NA	NA
c140	385	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe	soil_saprotroph	agaricoid
c141	383	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum_porosum/sporotrichoides/dehoogii	soil_saprotroph	none
c142	380	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	Archaeorhizomyces	soil_saprotroph	none
c143	380	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_aff._acutus	ectomycorrhizal	agaricoid
c144	371	NA	NA	NA	NA	Pyronemataceae	Pyronemataceae	NA	NA
c145	369	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Pleotrichocladium	Pleotrichocladium_opacum	wood_saprotroph	0
c146	355	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena	litter_saprotroph	agaricoid
c148	353	Ascomycota	Leotiomycetes	Helotiales	Hamatocanthoscyphaceae	Xenopolyscytalum	Xenopolyscytalum_pinea	litter_saprotroph	0
c149	353	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_epigaea	ectomycorrhizal	corticioid
c150	351	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Lachnum	Lachnum_pygmaeum/virgineum	litter_saprotroph	apothecium_(hymenium_on_surface)
c151	350	NA	NA	NA	NA	Meruliaceae	Meruliaceae	NA	NA
c152	349	NA	NA	NA	NA	Eluderea	Eluderea_minerophilus_(GS25)	NA	NA
c153	347	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Cheilymenia	Cheilymenia	litter_saprotroph	apothecium_(hymenium_on_surface)
c154	344	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Chalara	Chalara	litter_saprotroph	None
c155	337	NA	NA	NA	NA	Chaetothyriales	Chaetothyriales	NA	NA
c156	336	NA	NA	NA	NA	Cystobasidiomycetes	Cystobasidiomycetes	NA	NA
c157	331	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia	plant_pathogen	perithecium_(hymenium_hidden,_narrow_opening)
